0.5,14.25,11.5,12.5,-3,14.25,7.5,-13,8.5,3.5,4.25,-10.5,19.5,5.25,0.75,2,17.5,3.75,0.75,17.75,9.75,17.5,9,22.25,15.25,-13.5,8,5,16.75,1.25,-7.25,5.5,-11.75,15.5,22.75,7,14.25,17.25,7.75,14.25,-2.5,-7.5,9.25,19,9.25,-3.75,-13,20.5,20.5,11,20,0,5.25,-27,-2.75,-18.5,17,-5.25,-5.25,0,14.75,-2.25,18.25,-21,3.75,-0.5,6.75,-22,-2.25,13,13,-15.75,-24.75,-24.75,18.25,9.25,9.25,0,-15.25,0,-5.5,14.25,6,-27.5,-25.5,-5,0.5,-15,-15.75,7.5,5.5,-1,0,16.5,10,6.75,-5,14.75,8.25,5,-11.5,11,19.25,20.75,5.5,-49.5,7.25,19,23.75,17.5,10.75,18.75,20,16.25,19,22,17,18.75,25.75,0.25,16.25,17.25,17,16.25,22,18.25,-58,16,18.75,8.25,12.5,9.5,19.25,10.25,18,18.25,19.25,11.5,17.5,16.75,23,16.5,4,18.25,15.5,15,18,17.5,8.5,19,-12.25,8.75,17.25,-10.25,19.5,17.75,17,19,16.25,16.5,16.75,20.25,8.5,4.5,22.75,0,38.75,29.5,39.25,32.25,7,30.75,28.75,36.25,35.5,3.25,28,33.5,16.5,18.25,0,34.75,0,33.25,20.5,19,19.25,36,17.75,35.5,27.5,34.5,34,0,33.75,11,0,6.5,5.5,35.75,9.75,0,18.5,32,27,23.25,38.75,27,24.25,19.75,1.5,35.5,31.5,3,9.5,39,20.5,28.5,9.75,0,30,34,28,21.5,28,0
9,-8.5,17.25,13.25,1.25,4,9.25,-1.75,-0.25,-2.75,3.75,2,15.75,-11.75,-0.5,0,9.25,-19.25,5.25,15.5,10.25,12.5,12.75,17.75,9.5,-6.25,14.75,12.5,19.5,-1.75,-6.25,10.25,0.5,-6.75,17.5,5,11.25,8.75,4.75,16.5,0,-5.75,9.75,14,5.5,-6.75,10.25,4,4,2,8.75,8.25,7,14.25,-8.75,0,9.5,-5.75,-16.5,-6.5,8.5,-15.75,15.25,-25.25,0.75,-4.5,-21.5,0,-17,-5.75,-5.75,-13.75,-28.25,-28.25,13.5,10,10,-2.5,-4.5,-1.25,-2.5,4.75,0,-17.75,-12,-1.5,1.25,-7.5,-13.75,7.25,9.75,-5,-3.75,19,-1.75,-4,-3,-62,12.75,15.5,-6,2,17.5,16.75,10.75,-40.25,4.25,11.25,14.5,17,4,14.25,15.5,8.75,14.5,13.5,19,16.25,16,7.25,12.5,10.5,11.5,15,10.5,12.5,-62,6.5,14.5,1.25,-1.25,-3,11.75,11,15.75,14.75,12.75,2,16.75,18.25,13,10.75,0.75,13.5,13.75,9.25,10.25,13,-11.75,16,-17.5,11.5,13.25,13.75,12.5,8,10.75,17.5,13.25,10.75,16,13.75,-11.75,10.25,-3.75,4.75,0,2,10.5,0,-12.25,8.5,4.5,9.25,13.75,0,0,1.25,2.75,-2.5,0,10.75,0,9.75,-5.25,0,3,13.25,-3.25,13.25,0.75,14.5,0,0,10.75,-7.75,0,3,-13.75,3.75,-1.75,-10.25,4.25,12,0,-4.5,0,8,7.5,-4.75,-11,13.5,7,-1,-8,13.75,-5.5,4.75,-15.75,6,2,0,6.25,-2,3.75,0
-13.25,-8,-10.75,-10.25,-12.5,-13,-3.75,-11.75,-14,-13.25,0,-16.75,-6.75,-14.25,-13.75,-14.75,-14.5,-12.25,-14.75,-10.5,-13.5,-10.25,-2.75,-6.25,-7.75,-13.75,-8.5,-10.5,-4,-2.5,-15.25,-13.25,-17,-10.75,-4.5,-8,-7.5,-1,-8.5,-7.25,-14,-13.25,-10,-13.25,-13.25,-8,-13,-5.75,-5.75,-10.5,-7.75,0,-7.5,-13,-12.25,-14.5,-8,-11.75,-11.75,-10.75,-4.25,-14.75,-14.25,-15,-13.25,-13.25,-10.25,-16.75,-13.5,-13.5,-13.5,-13.5,-16,-16,-7,-9,-9,0,-14.25,-10.75,-13,-5,-10.25,-15.75,-14.5,-11.5,-11,-16.25,-16.25,-11.75,-3.25,-14.25,-12.5,-11.75,-11,-11.75,-0.75,-36,-6.5,-4.5,-14.25,-5.75,-0.75,-10.75,-14.75,-18.5,-4.5,-1.25,-36,-2,-10,-3,-9.5,-2,-4.75,-11.5,13.5,-12,-9.75,-9.75,-5.5,8,-7.5,-8,-10.25,-36,-36,-2.5,1.5,-14.5,-7,-11.25,-8,-13.5,3.5,3,-7.5,-8.25,-10.25,-0.5,4,-14.5,-9.75,-1.75,-2.5,2.25,0.5,-4.5,-3.25,-4.25,-16.25,2,1.25,-9.75,-3.5,1,-6,-8.5,-6,-6.25,-6.25,0,-3.25,-11.5,-37.5,-29.75,-25.5,-31.5,-35,-37,-38.5,-37.5,-34.25,-35.5,-34.25,-35,-34.75,-28,-35.5,0,-35.25,-23.75,0,-33.5,-36.25,-32,-32.25,-23,-37,-25,-29.5,-32.25,-33.5,0,-32.75,-37.75,0,-27.75,-39.25,-31,-37.5,-36.25,-33,-29.75,-27.25,-37.5,-27,-30.25,-34.75,-36.75,0,-34,-37.25,-38.25,0,-33,-32.75,-33.25,-35.75,-33.25,-36.25,0,-27,-35.5,-33.5,0
6.25,0,-6.5,9.5,0,0,8,-1,5.5,0,0,-1,15,13.5,-1.75,0,-4,-0.5,-1.25,14.25,9.5,17.25,-7.75,13,9.25,-9.75,17.5,8.25,10.25,0.75,-14.25,16,2,-5.25,17.5,14.5,5.25,-14,0,12.5,-13,-4,10.75,11,5.5,-5.25,-8.75,-2.5,-2.5,6.5,9.5,0,-3.75,-22,-14.25,-10.75,8,2.25,-14.5,0,12.5,0,7.75,-36.75,0,0,-23,-27.25,-14.5,-16.25,-16.25,-6.25,-24.5,-24.5,15,6.5,6.5,0,-10.25,0,-4.5,5.25,1.25,-24.25,-18.25,-20.5,-3,-9.5,-8.5,4.25,12.5,0,0,13.25,-7.25,0,-5.75,-64,1.25,8.75,-1.25,11.75,13.75,12.5,10.25,-54.25,10.5,8,-64,12.25,-10.75,7.25,10.5,7.25,9.75,11.25,6,6.25,12.25,-6.25,8,10.5,9.25,-64,8.25,15,-64,20.5,14.75,3.75,-16.25,-23,7.75,8.75,7.25,12.25,8.25,8,-0.25,8.25,15.75,11.75,-18.75,12,14.75,8.75,13.5,7.5,5.25,8.75,-16.25,-0.5,9,16,-5,8.25,11.5,11.5,12.75,9.75,1.75,5.75,5.25,4.75,40,0,0,36.75,51.5,20,35.25,46.75,43.75,46.25,53,18.75,40.75,42,42.25,39.25,0,48.75,52.5,36.5,49.5,36,43,50,32,55.75,49.5,51.25,0,0,56,4,0,40.5,17.25,42.75,30.75,34.75,32.75,50.25,50.75,48.75,49,39.25,41.25,37.25,0,51.75,45,28,23,55.5,21.5,40.5,24.75,50.25,45.25,0,44.25,34.75,42.25,0
11,13.75,-4,9.5,12.5,19,11.75,3.5,11.25,5.25,2.5,4.75,20.25,10.25,9.75,20.75,0,-9,11.75,17.75,17,14.5,14.75,17.75,19.5,-2,19,9.75,22.25,-3.5,4.25,-5.5,3.25,5.25,20.25,16.25,14,10.25,20.75,13.75,-4.75,-12.75,13.25,19.5,17.5,-2.5,9.5,22.5,22.5,12.25,3,0,8.75,-2.5,2.25,-4.25,16.75,6.5,-7.5,0,8.25,15.5,16,-18.75,7.75,0,-23,-18,5.5,1.75,1.75,-12.75,-17.75,-17.75,3.5,14.25,14.25,0,-1.25,3.25,5.5,16.75,12.25,0,-13.5,1.75,18.25,-4.25,-7.25,14.5,23.5,3,-0.75,17.25,1.25,0.75,10,-59,19.75,16.5,1.25,-3.25,22.75,22.25,19.25,-34.75,17.5,18.5,19.75,23.25,14,19.25,18.5,18.75,17.5,17.25,15.75,17.5,24.25,-18.25,17.5,17.75,16.75,16.25,16.5,19.25,-59,17.75,22,8.75,5.5,8,22.5,17.5,21,19.25,18.75,14,18.75,17,18.5,19.75,18,11.5,19.75,19,18,23.75,9.75,21,-10.5,6.75,18.5,19.25,19.5,20.75,16.75,19,17.75,17.75,23.5,17.75,9.75,14.25,2.75,14.25,0,9.75,10.75,-7.25,-2,2.5,4.5,14.5,14.25,-8.5,6.5,7,-1.25,5.25,-9.75,8,10.75,15.25,9.25,0.5,5.75,9.5,-3,12,13,10.5,0,0,11.25,-12.25,0,9,-11.25,7.25,-11.5,4.5,-19,11.75,12,-3.25,14.25,10,-2.25,3.75,-14.25,10.5,15,-11.25,-2.5,11.75,-6,6,-14,11.5,2,0,7.75,-21.75,0,14
14.25,22.75,28.5,28,26.25,20,16.75,6.75,14.75,12,13,5,24.25,14.75,22.25,0,0,8.25,14,23.75,21,31.25,24,27.75,31.5,0.75,16.75,27.25,27.5,10.75,13.5,15.5,16.25,20.5,32.75,29.75,25.75,25.75,16.5,28.5,10.5,13.75,17.5,33.75,12.75,0,18.5,27.5,27.5,16.25,30.25,17.75,11.75,19,7,3,28.5,8,14.25,8.5,30.75,6,29,1,18.75,9.25,4.25,2,2.75,16,16,12.25,0,0,18.25,20.25,20.25,0,9,9,11.75,27.5,14.25,2,5.25,12.5,12.75,0,-0.25,17.25,28.25,25,9,16,21.25,15.25,28.75,-22,31.5,26.75,17.25,19.25,25.75,28.25,22.5,-12.25,14.25,31.25,26,30.5,26.25,31,29.25,28.75,28.5,27.5,29.5,21,21.75,8.75,29.75,32.5,24,25.5,27,28.75,-22,31.25,30.5,10.5,30.75,12.25,18.5,24.25,32.5,31.25,32.25,10.75,22.75,30,35.25,27,16.5,30.75,31.5,19.75,25.75,29.75,32.25,28.25,8,21.75,33,18,28,29,28.25,29.25,25.25,24.75,28.75,29.25,32.25,18.5,-3.25,1,10.75,-7,-2,4,-12,-4.5,2.5,2.5,5.5,0.25,3,-0.25,-10.25,-9,0,1.5,0.75,13,-3.25,8.75,-0.75,11,-6.75,11.75,9.75,12.5,0,0,7.5,-19.25,0,-4.5,-19,3.25,-17.75,-13.25,-15.25,13.5,7.75,-4,11,-1.75,0.75,-8.75,0,3,0,-6.25,0,6.25,0,0.25,-11.25,4.5,-3.75,-8.5,1.25,-12.75,-7.5,8.5
3.25,0,-3,9.75,-7.25,6,8.25,-16.25,1.25,-2,0,5.5,11.75,5,-2.25,0,0,-1,6,9.5,3.75,12,-2,13.5,16,-15.75,8.75,-7.75,11.25,0,1.25,0.25,-9,-6.5,12,6,7.5,-1.25,7.5,14.25,0,-1,8.25,9,4.5,-4.25,-6,7,7,6.25,6.5,-7,4,4,-7.75,-22.25,6.25,-24,-17,-16.75,11.75,-5.75,12.5,-25,0,-3,-27,-31.25,-10,3.75,3.75,-19.25,-20.25,-20.25,9.5,4.5,4.5,-7.75,-2.75,-14,-1.5,6,0,0,-34,-27.25,2.5,-20,-11.75,4.25,13.5,-11.5,0,-2.25,-11.75,-2,-21.5,-64,-11.25,2.75,-10.25,-12.5,7.75,7.25,9,-35.75,8.25,-13.25,9.25,14.5,7.75,9.5,7.75,14.5,5,9.75,13,11.25,8.25,-24.5,11.25,10.75,7.25,7.5,7.25,16.75,-64,9,12,-10.75,14.5,-14,11.75,3.75,12.75,13,10,-0.5,8.25,8,14.75,4.75,-1.25,7.5,1.75,5.25,16.75,10,11.75,16.25,-15,-0.5,9.5,4.75,-33.25,13.25,9.25,10,12.75,9,12.5,13.5,11.75,7,23.75,0,41.5,0,40,25.5,20,31.25,32.75,42.25,44,20.25,39.25,43,35.25,23.75,0,42.25,45.25,47,0,0,32.75,45.25,16,38,38.25,42.25,0,13.75,37,6.5,0,46.75,-7,37.75,18,25,24.5,0,39,14,0,21,28.5,0,10.25,39.75,32.75,9.75,18.5,50.75,26.75,17.25,4,42.75,28.25,45.25,33,17.25,0,0
11.75,19.5,0,0,14,27.25,12,9,16.75,16,17.5,25.25,25.25,18.5,8,0,14.5,6,18,27,10,30.75,25.75,22.75,24,-5,25.5,21.75,26.75,12.5,6.25,9,23.75,19.5,31.25,27.5,28.5,1.75,0,27,0.5,7.5,18.25,27.25,11,11.5,7.25,19.5,19.5,24.25,26.5,20,17,11.25,10,-1.5,17.25,11,-8.5,0,28.5,0,27,-4.75,17.75,10,6,-7.75,4,15.25,15.25,-1.25,7.5,7.5,22.75,27.5,27.5,0,-2,-1.75,0.25,9.5,19.75,-15.5,-3.25,9,24,-2.25,9.5,14.25,27,24.5,2.25,26.75,-0.25,7.5,4.75,-40,26.75,4,16.25,17.25,29.25,30,26.5,-10,24,16.25,20.5,34.25,16.25,29.5,23.75,27.5,25.75,34.5,29.25,27.5,27.5,-0.75,20.75,17.75,25.75,30.5,21.75,31.5,-40,21.5,31.5,6,30,-5.75,29.75,21.75,31,29.25,31.25,18,14.5,27,30.5,24.75,24.75,32,27.25,14.75,24.5,26.5,17.5,23.75,2.25,13.5,26,27.25,32,30.25,18.75,32.5,20.5,23.5,30,26.75,17.5,12,-31.5,-9.25,-1.25,-12.25,-6,-23.5,-32.25,-33.5,-23,-11.75,-12.5,-32.25,0,-8.75,-24.25,-22.25,0,-12.5,-13.75,-13,-31.5,-16.25,-13.25,-8.5,-30.75,-19.25,-21,-10.25,0,0,-13.75,-44,0,-27.75,-38.25,-11,-16.75,-37,-27,-10.5,-17.5,-32.5,-7.5,-28,-29.25,-28.75,-32.75,-8.75,-18.75,-36,-35,-6,-31,-26.75,-48.75,0,-23.75,-8.25,-27.25,-25.25,-28.5,-9.75
18,19,10.25,19,10.75,23.5,14.75,7.75,13.5,8.25,11,16.25,26.75,22,10.25,0,19.25,6.25,15.5,27.25,10.5,19,20.25,23.75,17.75,1,14.25,5.75,30.25,10,18,8.25,15.25,26.25,24.5,13,16,21.5,8.75,18.5,0,1.75,19,20.25,17.5,6.5,10.5,17.5,17.5,19,14.25,9.75,19,15,-1.5,-0.5,25.5,7.75,-3,2.75,11.25,3,22.25,-1,18.75,15.75,2.25,-1.5,2.25,8.25,8.25,8.75,-1.25,-1.25,24.5,24,24,1.25,1.5,3.5,7.75,13.25,14,-5.75,1.5,6.5,0,-2.25,0,18,23.25,3.5,-3,23.75,11.75,8.5,5.25,-31,25.25,7.25,17.75,9,26.5,32.5,26,-8,18.75,26.75,21,28,18.5,27.75,25.5,28.75,24.25,22,29,29.25,25,7.5,19.5,27.5,17.25,-31,25.25,28.75,-31,18.5,30.25,-2.25,29.75,7.75,21.5,18.25,27.75,33.25,23.5,13.5,23.75,24,32.75,22.25,11.25,31.5,28,26.25,29,24,22.5,23.25,6.75,30.5,21.25,33.75,27,26,24.25,36.5,24.25,26,31.25,23.25,22.5,19.5,0,11.25,21.75,-2.75,19.25,8.5,-7.5,2,-0.75,14.75,8.25,3.5,12,15.5,10,0,3.5,16.25,0.75,15.75,11.25,12.5,8.75,18.75,2,10.5,11.25,20.75,16.5,0,19.5,-3.75,0,7,-9.25,11.25,8,0.75,4.25,11.75,19.75,3.75,12.75,10,1,4.75,2,16.25,13.25,-1.25,0,17.25,13.75,12,-5.5,8,-5.75,5.25,6.25,0,4,13.75
-11.75,0,-19.5,2,-4.75,0.75,-0.75,-31.5,-6.5,-17,0,-32.75,-3.5,-16.5,-10.25,0,0,-19.5,-14.75,7.25,-0.75,-5.25,1.75,1.5,7,-33.5,6.5,-5,1.5,-16.5,-12.25,-18.5,-16.25,0,4.75,-6.75,0.5,-8.5,-3.25,-1.5,-36,-37.75,-6,1.25,0,-0.25,-41.5,-1.5,-1.5,-3.25,-8.25,1.75,-5.25,-13.5,-32.5,-46,-1.25,-17.5,-37,-33.5,-8.25,-11.5,-1.75,-46.25,-32.25,0,-39.5,-51.75,-31,-16.75,-16.75,-28,-50,-50,3.25,-2.25,-2.25,0,-34,0,-23,-7,0,0,-46.25,-37,0,-43.75,-22,-14.5,-14,-27.5,-27.25,-7.5,-32.75,-22.75,-15.5,-77,0.25,-2,-7.5,-16,5.25,6.25,-6.75,-55.5,7.75,-2.25,-77,4,0.75,2.5,0.75,1.75,2,-2.5,-14.5,0.25,4.25,-34.25,2,1.5,4.25,7,-77,1.25,-77,-10.5,0.75,-11.75,3.25,-16.25,1.75,-1.5,2.75,1,2.25,-6.75,-2.5,2.75,-0.5,7.75,-77,1.25,1.75,-2.5,0.25,-2.5,-10.25,1.5,-21.5,2.75,6.5,5.5,-1,2.75,9.75,6,5.75,1.5,-14.25,-2.5,-10.25,-8.75,18.75,48.25,0,42,59.25,45.75,18.5,0,48.25,57.5,53.75,20.5,48.5,55,31.5,34,0,39.25,38.75,48.25,0,0,45,51.75,20.25,52.75,31,54,0,0,55,12,0,42.25,18.5,54.25,38.5,28.75,47,54.75,40.25,51.75,0,42.5,52.5,0,22.5,47,40.5,21.75,0,57.5,39,32.25,6,55.75,42.5,0,42.25,0,53.5,53.75
